WORDS,FREQ
<<<<<<< HEAD
work,1
group,1
project,3
mobile,1
game,2
development,1
charge,1
io,1
team,2
handle,1
10,1
developer,2
take,1
time,1
speak,1
individually,1
monitor,1
progress,1
part,1
happy,1
outcome,1
since,1
top,1
downloaded,1
apps,1
lately,1
=======
feel,1
like,1
confident,1
impact,1
ready,1
work,1
skill,1
positive,1
ecosystem,1
>>>>>>> f5d77ca6bf9ee142e8625d0da5f5140497ddd45d
